Date,1D,1W,1M,2M,3M,1Y,2Y,3Y,4Y,5Y,6M,7Y,10Y,12Y,15Y
1,-0.0158113,-0.003513623,-0.002350211,-1.65E-04,3.48E-06,-0.00039039,-2.97E-04,0.016020083,-1.27E-04,-4.81E-05,-0.000445129,-0.008178931,1.47E-04,1.35E-04,1.75E-04
1,0,0,-0.002209445,-0.000336457,0.000944889,-4.46E-05,-0.023948068,-0.03175336,-0.016075518,-0.031792167,-0.0004713,0.000781731,0.000602749,0.000642556,0.000707449
1,0,-0.022853461,-0.057034043,-0.037691823,-0.030122548,-0.007561736,-0.003820983,0.028174433,0.020920516,0.029004679,-0.014375284,-0.003043227,-0.002473069,-0.002716276,-0.002611956
1,-3.48E-06,-1.26E-06,-3.08E-04,-0.00152924,0.000332659,-1.95E-04,-9.90E-05,-0.047771659,-0.02388283,-0.048095928,-0.000383919,-0.047880283,0.001994123,0.002232467,0.002044517
3,-0.015807837,0.0193411,0.060095042,0.038719117,0.029559144,0.008036046,-0.011602767,-0.03614305,-0.028371829,-0.053072003,0.015367531,-0.070162587,0.004562227,0.005295772,0.004741965
1,-0.126490499,-0.028109002,-0.009568369,-0.004352028,-0.0023514,0.007246976,-0.007896309,-0.007826789,-0.080076975,-0.063740601,-0.001504624,0.001353382,0.001098072,0.001252271,0.001190243
1,0.158113102,0.035136247,0.00744736,0.005019464,0.003962539,-0.007448853,0.015562441,0.015552287,0.015951575,0.032206081,0.001048004,-0.050048809,0.000738313,0.000770979,0.000819653
1,-0.0158113,-0.017329936,-0.057665683,-0.037857315,-0.030141471,-1.61E-04,-0.019657018,-0.010933202,-0.0026141,-0.027124076,-0.014589604,-0.001870683,-0.001582081,-0.001674777,-0.001673768
1,0.01580766,0.001127422,0.00180659,-2.44E-04,0.000658652,-1.51E-05,-8.06E-06,-0.023899805,-0.040116354,-0.031505216,-2.96E-05,0.00079143,0.000665112,0.000688004,0.00064747
3,3.64E-06,0.016202515,0.059787109,0.038438339,0.029564159,0.000533464,0.004487702,0.019582683,0.010994822,0.010209012,0.015381866,-0.046720499,0.002840374,0.003303575,0.00294052
1,-0.0158113,-0.003513623,-0.002350211,-1.65E-04,3.48E-06,-0.00039039,-9.58E-06,-0.032131005,-0.015713301,-0.055786553,-0.000445106,-0.072054473,0.002570132,0.002935394,0.002707991
1,0,0,-0.001882826,0,0.000945891,-4.46E-05,0.015147718,0.039624047,0.023894774,0.047864431,-0.000471398,-0.001001598,-0.000808433,-0.001063661,-0.000802551
1,-0.047433915,-0.060567667,-0.120330635,-0.081795806,-0.061112777,-0.015987951,-0.024253563,-0.05417511,-0.005495397,-0.053299845,-0.03097402,-0.003607254,-0.002884576,-0.003711227,-0.003355487
1,0.063237935,0.029186738,0.019413548,0.005663099,0.002893677,0.000422917,-0.007890518,0.000440006,-0.095818414,-0.03938576,0.000829073,-0.039716301,-0.089898874,0.005583226,0.005050803
3,5.47E-06,0.023554367,0.075574863,0.056848993,0.042500231,0.0119733,-0.025027432,-0.050760821,-0.019729352,-0.052042954,0.02282939,-0.052685993,-0.053503414,0.008172167,0.007368104
1,1.82E-06,0.011340184,0.028155127,0.020152702,0.014769506,0.00402772,0.002171236,0.001590306,0.001362793,0.001235783,0.007757763,0.001058674,0.000889707,0.001097908,0.000984661
1,0,0,-0.00218126,-0.000367042,-0.000421367,-0.000359175,0.01572404,0.031567225,-0.039962863,0.008106578,-2.88E-04,0.007915292,0.008527534,-0.000631754,-0.000483465
